code,name,faculty,tier,jir_n,n_titles,coverage,exposure_aioe,exposure_proxy,adaptiveness,gate_D4,gate_D6,quadrant_aioe,quadrant_v2_published,quadrant_changed,v1_score,v1_band,n_newly_mapped,n_medium_conf,exposure_source,index_vintage,mapping_note
mc-base,Master of Advanced Social Enterprise,Business & Economics,partial,66,13,1.0,96.05,62.54,6,PASS,FAIL,Attention,Attention,False,20,MODERATE RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-jurisd,Juris Doctor,Law,exact,1277,15,1.0,94.43,66.8,9,FAIL,PASS,Attention,Attention,False,24,MODERATE RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-tesol,Master of TESOL,Education,exact,26,15,1.0,93.99,58.93,8,FAIL,FAIL,Attention,Sheltered,True,21,MODERATE RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-ed,Master of Education,Education,exact,611,15,1.0,92.44,60.67,9,FAIL,PASS,Attention,Sheltered,True,24,MODERATE RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-surged,Master of Surgical Education,"Medicine, Dentistry & Health",partial,611,15,1.0,92.44,60.67,9,FAIL,PASS,Attention,Sheltered,True,25,MODERATE RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-intedib,Master of International Education (IB),Education,partial,611,15,1.0,92.44,60.67,6,FAIL,FAIL,Attention,Sheltered,True,18,HIGH RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-is,Master of Information Systems,Business & Economics,exact,257,14,1.0,91.69,69.29,8,FAIL,FAIL,Attention,Attention,False,20,MODERATE RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-journ,Master of Journalism,Arts,exact,51,15,1.0,91.48,69.33,8,FAIL,PASS,Attention,Attention,False,21,MODERATE RISK,0,0,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main",all destination titles from prior authoritative mapping
mc-apbusa,Master of Applied Business Analytics,Business & Economics,partial,655,13,1.0,90.73,67.43,12,FAIL,FAIL,Comfortable,Well-positioned,True,22,MODERATE RISK,6,1,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main","6 destination titles newly mapped to O*NET-SOC 2010 (LLM-assisted, all codes validated against published AIOE)"
mc-busana,Master of Business Analytics,Business & Economics,partial,655,13,1.0,90.73,67.43,14,PASS,PASS,Comfortable,Well-positioned,True,30,RESILIENT,6,1,Felten AIOE (rescaled 0-100),"AIOE_DataAppendix.xlsx, AIOE-Data/AIOE @ main","6 destination titles newly mapped to O*NET-SOC 2010 (LLM-assisted, all codes validated against published AIOE)"
