occupation,onet_soc_code,onet_soc_title,ai_exposure_index,mapping_confidence,index_source
Account Manager,41-3099,"Sales Representatives, Services, All Other",94.64,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Analytical Chemist,19-2031,Chemists,75.54,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Assistant Manager,11-1021,General and Operations Managers,77.3,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Civil Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Clinical Demonstrator,25-1071,"Health Specialties Teachers, Postsecondary",85.64,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Clinical Director,11-9111,Medical and Health Services Managers,93.63,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Clinical Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Clinical Research Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Cosmetic Dentist,29-1021,"Dentists, General",59.28,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Dental Assistant,31-9091,Dental Assistants,51.05,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Dental Resident,29-1021,"Dentists, General",59.28,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Dental Surgeon,29-1022,Oral and Maxillofacial Surgeons,57.91,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Dentist,29-1021,"Dentists, General",59.28,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Director Of Operations,11-1021,General and Operations Managers,77.3,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Dry Eye Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Emergency Veterinarian,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Engineering Geologist,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",95.69,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Equine Veterinarian,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Exploration Geologist,19-2042,"Geoscientists, Except Hydrologists and Geographers",80.62,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Field Geologist,19-2042,"Geoscientists, Except Hydrologists and Geographers",80.62,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Field Technician,17-3029,"Engineering Technicians, Except Drafters, All Other",68.23,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Finance Manager,11-3031,Financial Managers,98.06,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Geophysicist,19-2042,"Geoscientists, Except Hydrologists and Geographers",80.62,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Geotechnical Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Civil Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Data Scientist,15-2041,Statisticians,96.55,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Dentist,29-1021,"Dentists, General",59.28,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Engineer,17-2199,"Engineers, All Other",82.37,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Geologist,19-2042,"Geoscientists, Except Hydrologists and Geographers",80.62,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Geoscientist,19-2042,"Geoscientists, Except Hydrologists and Geographers",80.62,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Geotechnical Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Meteorologist,19-2021,Atmospheric and Space Scientists,96.34,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Structural Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Transport Planner,19-3051,Urban and Regional Planners,92.85,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Graduate Water Engineer,17-2051,Civil Engineers,94.17,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Head Veterinarian,29-1131,Veterinarians,61.82,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Human Resources Manager,11-3121,Human Resources Managers,95.06,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Junior Physicist,19-2012,Physicists,95.67,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Laboratory Analyst,29-2011,Medical and Clinical Laboratory Technologists,70.32,medium,"Felten-AIOE (Appendix A, rescaled 0-100)"
Laser Scientist,19-2012,Physicists,95.67,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Locum Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Managing Director,11-1021,General and Operations Managers,77.3,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Mine Geologist,19-2042,"Geoscientists, Except Hydrologists and Geographers",80.62,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Optical Assistant,29-2057,Ophthalmic Medical Technicians,65.48,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Optical Dispenser,29-2081,"Opticians, Dispensing",66.02,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
Optometrist,29-1041,Optometrists,75.61,high,"Felten-AIOE (Appendix A, rescaled 0-100)"
