occupation,onet_soc_code,onet_soc_title,ai_exposure_index,mapping_confidence,index_source,mapping_note
Assistant Planner,19-3051,Urban and Regional Planners,92.85,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Town-planning work; 'assistant' is seniority.
Assistant Project Manager,11-9021,Construction Managers,88.12,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Project management in a built-environment cohort; 'assistant' is seniority.
Brand and Visual Designer,27-1024,Graphic Designers,80.66,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Visual identity and brand design is graphic design.
Cadet Quantity Surveyor,13-1051,Cost Estimators,96.19,high,"Felten-AIOE (Appendix A, rescaled 0-100)",AU quantity surveying is construction cost estimating; 'cadet' is seniority.
City Greening Lead,19-1031,Conservation Scientists,65.25,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Leads urban vegetation/land-quality programs; no urban-greening occupation in SOC 2010.
Communications Director,11-2031,Public Relations Managers,94.43,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Directs communications function; closest SOC 2010 management occupation.
Construction Cadet,11-9021,Construction Managers,88.12,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",AU cadetship is trainee site/project management; seniority stripped per rule 1
Construction Supervisor,47-1011,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,56.33,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Direct supervision of construction trades.
Consultant Urban Horticulturalist,19-1013,Soil and Plant Scientists,78.66,high,"Felten-AIOE (Appendix A, rescaled 0-100)","Horticultural science advice; 'consultant' is an engagement mode, not a different occupation."
Content Designer,27-3043,Writers and Authors,87.14,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Content design is primarily writing/structuring copy; no SOC 2010 content-design occupation.
Cost Manager,13-1051,Cost Estimators,96.19,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Construction cost management; same occupation as quantity surveying.
Creative Lead,27-1011,Art Directors,87.97,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",directs visual/creative output of a design or agency team; 'Lead' stripped
Digital Designer,27-1024,Graphic Designers,80.66,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Digital visual design sits in graphic design.
Experience Designer,15-1199,"Computer Occupations, All Other",92.97,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Interface/experience design has no SOC 2010 occupation (added as 15-1255 only in SOC 2018).
Freelance Graphic Designer,27-1024,Graphic Designers,80.66,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Direct match; 'freelance' is an employment mode.
GIS Analyst,19-3092,Geographers,97.82,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Spatial analysis; SOC 2010 has no dedicated GIS occupation.
Graduate Architect,17-1011,"Architects, Except Landscape and Naval",88.55,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Direct match; 'graduate' is seniority.
Graduate Builder,11-9021,Construction Managers,88.12,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",AU 'builder' is a construction management pathway; 'graduate' is seniority.
Graduate Cost Manager,13-1051,Cost Estimators,96.19,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Same as Cost Manager; 'graduate' is seniority.
Graduate Environmental Planner,19-3051,Urban and Regional Planners,92.85,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Environmental planning is a planning specialisation; 'graduate' is seniority.
Graduate GIS Analyst,19-3092,Geographers,97.82,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Same as GIS Analyst; 'graduate' is seniority.
Graduate Interior Designer,27-1025,Interior Designers,90.33,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Direct match; 'graduate' is seniority.
Graduate Landscape Designer,17-1012,Landscape Architects,88.25,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Landscape design work; 'graduate' is seniority.
Graduate Project Manager,11-9021,Construction Managers,88.12,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Same as Assistant Project Manager; 'graduate' is seniority.
Graduate Quantity Surveyor,13-1051,Cost Estimators,96.19,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Same as Quantity Surveyor; 'graduate' is seniority.
Graduate Valuation Analyst,13-2021,Appraisers and Assessors of Real Estate,83.65,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Property valuation; 'graduate' is seniority.
Graphic Designer,27-1024,Graphic Designers,80.66,high,"Felten-AIOE (Appendix A, rescaled 0-100)",Direct match.
Head of Design,27-1011,Art Directors,87.97,medium,"Felten-AIOE (Appendix A, rescaled 0-100)",Leads a design function; Art Directors is the SOC 2010 design-leadership occupation.
