code,name,exposure_aioe,adaptiveness,items_at_ceiling,p_High_exposure_hi,p_Low_exposure_hi,p_High_exposure_lo,p_Low_exposure_lo,modal_quadrant,modal_p10,modal_p05,modal_p20,adapt_min,adapt_max,dist_to_adapt_median,near_boundary,stability_class
746st,Master of Engineering Structures,91.09,10,2,0.79855,0.0,0.20145,0.0,High exposure · high adaptiveness,0.79855,0.88792,0.67165,5,13,0,True,boundary cluster
mc-phtyph,Master of Physiotherapy (Pelvic Health),71.03,10,2,0.0,0.79855,0.0,0.20145,Low exposure · high adaptiveness,0.79855,0.88792,0.67165,5,13,0,True,boundary cluster
mc-propsyc,Master of Professional Psychology,97.19,10,1,0.8062,0.0,0.1938,0.0,High exposure · high adaptiveness,0.8062,0.89011,0.6948,5,14,0,True,boundary cluster
mc-gencoun,Master of Genetic Counselling,93.27,10,1,0.8062,0.0,0.1938,0.0,High exposure · high adaptiveness,0.8062,0.89011,0.6948,5,14,0,True,boundary cluster
mc-dphysio,Doctor of Physiotherapy,71.03,10,1,0.0,0.8062,0.0,0.1938,Low exposure · high adaptiveness,0.8062,0.89011,0.6948,5,14,0,True,boundary cluster
mc-scibit,Master of Biotechnology,86.37,10,1,0.0,0.8062,0.0,0.1938,Low exposure · high adaptiveness,0.8062,0.89011,0.6948,5,14,0,True,boundary cluster
mc-envsc,Master of Environmental Science,83.13,10,1,0.0,0.8062,0.0,0.1938,Low exposure · high adaptiveness,0.8062,0.89011,0.6948,5,14,0,True,boundary cluster
mc-nursc,Master of Nursing Science,72.69,10,1,0.0,0.8062,0.0,0.1938,Low exposure · high adaptiveness,0.8062,0.89011,0.6948,5,14,0,True,boundary cluster
mc-jurisd,Juris Doctor,94.43,9,0,0.18645,0.0,0.81355,0.0,High exposure · low adaptiveness,0.81355,0.89225,0.71624,4,14,-1,True,boundary cluster
mc-prop,Master of Property,89.89,9,0,0.0,0.18645,0.0,0.81355,Low exposure · low adaptiveness,0.81355,0.89225,0.71624,4,14,-1,True,boundary cluster
439fs,Master of Food Science,79.43,9,0,0.0,0.18645,0.0,0.81355,Low exposure · low adaptiveness,0.81355,0.89225,0.71624,4,14,-1,True,boundary cluster
mc-urbdes,Master of Urban Design,92.85,10,3,0.82953,0.0,0.17047,0.0,High exposure · high adaptiveness,0.82953,0.90774,0.7074,6,12,0,True,boundary cluster
mc-ed,Master of Education,92.44,9,1,0.15242,0.0,0.84758,0.0,High exposure · low adaptiveness,0.84758,0.91279,0.76494,4,13,-1,True,boundary cluster
