code,word_count,link_count,subject_count,ai_terms,ai_density,research_terms,research_density,career_terms,career_density,quant_terms,quant_density,has_course_structure,has_career_outcomes
mc-bmedsc,593,50,20,0,0.0,7,0.011804,15,0.025295,0,0.0,1,1
mc-climsci,2259,136,96,0,0.0,14,0.006197,31,0.013723,8,0.003541,1,1
mc-cs,2086,132,111,13,0.006232,22,0.010547,22,0.010547,5,0.002397,1,1
mc-datasc,1948,108,68,39,0.020021,16,0.008214,24,0.01232,22,0.011294,1,1
mc-envsc,3653,220,184,1,0.000274,18,0.004927,38,0.010402,9,0.002464,1,1
mc-gencoun,1632,105,50,0,0.0,14,0.008578,34,0.020833,0,0.0,1,1
mc-nursc,1748,125,97,0,0.0,9,0.005149,22,0.012586,0,0.0,1,1
mc-propsyc,1555,106,57,0,0.0,15,0.009646,50,0.032154,1,0.000643,1,1
mc-scibif,3270,162,171,7,0.002141,43,0.01315,27,0.008257,18,0.005505,1,1
mc-scibio,3436,174,145,1,0.000291,56,0.016298,30,0.008731,7,0.002037,1,1
mc-sciche,3591,187,175,0,0.0,54,0.015038,28,0.007797,2,0.000557,1,1
mc-sciphy,2110,125,75,0,0.0,40,0.018957,29,0.013744,4,0.001896,1,1
mc-urbdes,2242,144,97,0,0.0,16,0.007136,26,0.011597,2,0.000892,1,1
